epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,epoch_time_sec
1,1.4154,1.0152,66.20,86.80,0.000100,76.8
1,1.4154,1.0152,66.20,86.80,0.000100,80.8
2,0.9291,0.8435,89.04,92.44,0.000099,66.2
2,0.9291,0.8435,89.04,92.44,0.000099,67.3
3,0.8095,0.8265,94.25,93.53,0.000098,67.9
3,0.8095,0.8265,94.25,93.53,0.000098,67.9
4,0.7690,0.7726,95.86,95.84,0.000095,68.6
4,0.7690,0.7726,95.86,95.84,0.000095,68.7
5,0.7448,0.7640,96.86,96.09,0.000091,68.8
5,0.7448,0.7640,96.86,96.09,0.000091,69.7
6,0.7162,0.7427,97.80,96.03,0.000086,70.1
6,0.7162,0.7427,97.80,96.03,0.000086,70.2
7,0.7198,0.7415,97.60,96.35,0.000080,70.1
7,0.7198,0.7415,97.60,96.35,0.000080,70.3
8,0.7009,0.7312,98.27,97.31,0.000073,68.9
8,0.7009,0.7312,98.27,97.31,0.000073,69.4
9,0.6948,0.7433,98.64,95.64,0.000066,70.2
9,0.6948,0.7433,98.64,95.64,0.000066,70.8
10,0.6905,0.7303,98.72,97.12,0.000058,69.3
10,0.6905,0.7303,98.72,97.12,0.000058,69.8
11,0.6851,0.7371,98.90,96.86,0.000051,68.9
11,0.6851,0.7371,98.90,96.86,0.000051,69.4
12,0.6822,0.7217,99.11,96.99,0.000043,68.5
12,0.6822,0.7217,99.11,96.99,0.000043,69.2
13,0.6809,0.7297,99.06,96.99,0.000035,67.9
13,0.6809,0.7297,99.06,96.99,0.000035,68.4
14,0.6760,0.7329,99.30,96.99,0.000028,67.6
14,0.6760,0.7329,99.30,96.99,0.000028,68.3
15,0.6711,0.7220,99.48,97.18,0.000021,67.5
15,0.6711,0.7220,99.48,97.18,0.000021,64.2
