epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,epoch_time_sec
1,2.1980,2.1061,23.75,36.39,0.000300,33.9
2,1.9589,1.9960,37.60,38.50,0.000299,32.9
3,1.8070,1.6286,45.61,56.44,0.000295,33.0
4,1.6661,1.5381,52.56,58.42,0.000290,32.9
5,1.5761,1.4531,57.92,63.74,0.000282,33.0
6,1.4750,1.3795,63.01,65.28,0.000271,32.8
7,1.3959,1.3228,66.40,72.39,0.000259,32.8
8,1.3382,1.2422,69.71,73.35,0.000246,37.3
9,1.2663,1.1625,73.29,79.12,0.000231,40.1
10,1.2046,1.0742,75.67,82.96,0.000214,40.0
11,1.1680,1.0774,78.22,84.30,0.000197,40.3
12,1.1109,1.0472,80.89,83.02,0.000179,39.2
13,1.0667,1.0072,82.59,85.20,0.000160,32.2
14,1.0419,0.9604,83.93,87.64,0.000141,32.1
15,1.0048,0.9342,85.81,88.40,0.000122,32.1
16,0.9720,0.9306,87.22,89.24,0.000104,32.3
17,0.9442,0.9010,88.42,90.52,0.000087,31.9
18,0.9306,0.8861,89.34,91.61,0.000070,32.1
19,0.9021,0.8671,90.28,92.12,0.000055,32.5
20,0.8824,0.8578,91.15,92.89,0.000042,32.6
21,0.8763,0.8659,91.64,92.57,0.000030,32.4
22,0.8640,0.8530,92.07,92.76,0.000019,31.7
23,0.8539,0.8504,92.63,92.95,0.000011,32.3
24,0.8511,0.8505,93.01,93.08,0.000006,32.4
25,0.8431,0.8472,93.28,92.95,0.000002,32.0
