epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,epoch_time_sec
1,1.7702,1.2263,46.37,75.34,0.000100,40.2
2,1.1715,0.9770,77.97,86.80,0.000099,39.0
3,0.9979,0.9130,86.55,89.69,0.000098,39.4
4,0.9130,0.8637,90.09,92.44,0.000095,38.9
5,0.8549,0.8364,92.95,93.91,0.000091,38.9
6,0.8184,0.8203,94.69,94.43,0.000086,40.6
7,0.8005,0.7840,95.29,95.84,0.000080,42.1
8,0.7871,0.7788,95.81,95.39,0.000073,40.4
9,0.7666,0.7592,96.82,96.48,0.000066,38.9
10,0.7498,0.7587,97.60,96.48,0.000058,39.2
11,0.7469,0.7509,97.67,96.41,0.000051,38.9
12,0.7349,0.7455,98.10,96.80,0.000043,39.0
13,0.7268,0.7468,98.50,96.99,0.000035,39.1
14,0.7172,0.7346,98.79,97.18,0.000028,38.8
15,0.7161,0.7348,98.75,97.31,0.000021,38.9
16,0.7158,0.7320,98.84,97.18,0.000015,39.0
17,0.7089,0.7307,98.84,97.50,0.000010,38.8
18,0.7066,0.7317,99.15,97.37,0.000006,39.0
19,0.7091,0.7287,98.95,97.57,0.000003,39.4
20,0.7050,0.7322,99.15,97.44,0.000002,39.4
