epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,epoch_time_sec
1,1.7743,1.1635,49.42,80.14,0.000100,47.2
2,1.0592,0.8864,83.81,90.13,0.000099,41.2
3,0.8761,0.8157,91.89,93.08,0.000098,41.3
4,0.8052,0.7708,94.49,95.32,0.000095,41.5
5,0.7611,0.7500,96.24,96.48,0.000091,41.6
6,0.7438,0.7391,96.92,96.54,0.000086,42.2
7,0.7308,0.7420,97.21,96.86,0.000080,41.3
8,0.7228,0.7439,97.62,96.35,0.000073,41.7
9,0.7090,0.7362,98.31,96.80,0.000066,41.6
10,0.6981,0.7516,98.54,96.99,0.000058,41.5
11,0.6941,0.7322,98.65,97.50,0.000051,41.7
12,0.6908,0.7389,98.61,96.67,0.000043,41.6
13,0.6855,0.7264,99.04,97.31,0.000035,43.3
14,0.6849,0.7321,99.05,97.31,0.000028,43.9
15,0.6799,0.7218,99.15,97.44,0.000021,41.6
16,0.6786,0.7316,99.24,97.25,0.000015,41.6
17,0.6761,0.7265,99.30,97.25,0.000010,41.6
18,0.6738,0.7298,99.50,97.31,0.000006,41.6
