epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,epoch_time_sec
1,1.8510,1.3145,44.49,72.97,0.000100,39.4
2,1.1396,1.0373,79.80,83.54,0.000099,40.6
3,0.9533,0.8990,88.04,89.75,0.000098,36.6
4,0.8497,0.8260,92.54,93.21,0.000095,39.5
5,0.8069,0.7957,94.51,95.39,0.000091,45.7
6,0.7730,0.7762,95.81,95.39,0.000086,40.3
7,0.7480,0.7613,96.63,95.96,0.000080,39.2
8,0.7353,0.7654,97.40,96.03,0.000073,36.7
9,0.7207,0.7512,97.91,96.16,0.000066,36.5
10,0.7182,0.7592,97.98,96.22,0.000058,36.4
11,0.7064,0.7384,98.43,96.60,0.000051,36.3
12,0.6984,0.7410,98.71,96.41,0.000043,36.3
13,0.6929,0.7360,98.90,96.80,0.000035,36.2
14,0.6903,0.7338,98.94,97.12,0.000028,36.4
15,0.6863,0.7333,99.24,96.99,0.000021,36.3
16,0.6815,0.7380,99.31,96.54,0.000015,36.4
17,0.6820,0.7335,99.24,96.86,0.000010,36.3
18,0.6821,0.7326,99.31,97.12,0.000006,36.3
19,0.6790,0.7314,99.50,97.05,0.000003,36.2
20,0.6791,0.7348,99.50,96.93,0.000002,36.4
